id,resource_id,locale,name,image_url,body_path,created_at,updated_at
0,1,ja,観葉植物の基礎知識,,/resources/1/resource_contents/0.md,Thu Jul 04 2019 19:12:54 GMT+0900 (GMT+09:00),Fri Jul 12 2019 19:34:26 GMT+0900 (GMT+09:00)
1,1,en,Fundamental Knowledge of Indoor Plants,,/resources/1/resource_contents/1.md,Thu Jul 04 2019 19:12:54 GMT+0900 (GMT+09:00),Fri Jul 12 2019 19:34:26 GMT+0900 (GMT+09:00)
2,2,ja,観葉植物の選び方,,/resources/2/resource_contents/2.md,Thu Jul 04 2019 20:16:17 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:33:48 GMT+0900 (GMT+09:00)
3,2,en,How to choose,,/resources/2/resource_contents/3.md,Thu Jul 04 2019 20:16:17 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:33:48 GMT+0900 (GMT+09:00)
4,3,ja,日々の手入れ,,/resources/3/resource_contents/4.md,Thu Jul 04 2019 20:18:14 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:32:27 GMT+0900 (GMT+09:00)
5,3,en,Daily Care,,/resources/3/resource_contents/5.md,Thu Jul 04 2019 20:18:14 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:32:27 GMT+0900 (GMT+09:00)
6,4,ja,四季の手入れ,,/resources/4/resource_contents/6.md,Thu Jul 04 2019 20:22:03 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:31:59 GMT+0900 (GMT+09:00)
7,4,en,Seasonal Care,,/resources/4/resource_contents/7.md,Thu Jul 04 2019 20:22:03 GMT+0900 (GMT+09:00),Mon Jul 08 2019 22:31:59 GMT+0900 (GMT+09:00)
8,5,ja,楽しみ方,,/resources/5/resource_contents/8.md,Thu Jul 04 2019 20:23:26 GMT+0900 (GMT+09:00),Fri Jul 12 2019 19:46:34 GMT+0900 (GMT+09:00)
9,5,en,How to Enjoy,,/resources/5/resource_contents/9.md,Thu Jul 04 2019 20:23:26 GMT+0900 (GMT+09:00),Fri Jul 12 2019 19:46:34 GMT+0900 (GMT+09:00)
10,6,ja,増やし方,,/resources/6/resource_contents/10.md,Thu Jul 04 2019 20:30:02 GMT+0900 (GMT+09:00),Fri Jul 12 2019 20:59:54 GMT+0900 (GMT+09:00)
11,6,en,How to Increase,,/resources/6/resource_contents/11.md,Thu Jul 04 2019 20:30:02 GMT+0900 (GMT+09:00),Fri Jul 12 2019 20:59:54 GMT+0900 (GMT+09:00)
12,7,ja,鉢について,,/resources/7/resource_contents/12.md,Thu Jul 04 2019 20:31:29 GMT+0900 (GMT+09:00),Fri Jul 12 2019 21:00:08 GMT+0900 (GMT+09:00)
13,7,en,About Pots,,/resources/7/resource_contents/13.md,Thu Jul 04 2019 20:31:29 GMT+0900 (GMT+09:00),Fri Jul 12 2019 21:00:08 GMT+0900 (GMT+09:00)
14,8,ja,土について,,/resources/8/resource_contents/14.md,Thu Jul 04 2019 20:32:04 GMT+0900 (GMT+09:00),Fri Jul 12 2019 21:00:56 GMT+0900 (GMT+09:00)
15,8,en,About soil,,/resources/8/resource_contents/15.md,Thu Jul 04 2019 20:32:04 GMT+0900 (GMT+09:00),Fri Jul 12 2019 21:00:56 GMT+0900 (GMT+09:00)
